app_detail_url	country	created_for	data_sources	developers	lang	platforms	source_code_url	summary	technology	title	url
http://dati.comune.roma.it/applicazioni/cicero	Italy			Massimiliano Miglio - DS Tech	IT	Web		PROPOSTA APPS4ROMAPMI Cicero, è un assistente di viaggio personale, social ed intelligente. Cicero sarà scaricabile negli store Apple, Android, Nokia, Windows, e sarà fruibile anche via web su www.cicerotravel.com. Cicero apprende i tuoi gusti e i tuoi interessi, ti suggerisce cosa fare nel tempo libero, ti aiuta a pianificare i viaggi con i tuoi amici e ti guida quando sei in viaggio alla scoperta di ciò che ti circonda. Cicero è un assistente virtuale che capisce le tue richieste e le tue esigenze. Niente più ricerche per keywords o tra migliaia di categorie predefinite. Niente più perdite di tempo tra decine di siti web.		Cicero		
http://dati.comune.roma.it/applicazioni/open-data-dashboard	Italy			Unisys Italia	IT	Web		PROPOSTA APPS4ROMAGRANDI AZIENDE L’iniziativa open data parte dal presupposto che i dati della PA siano per definizione di tutti noi: dotare quindi i Cittadini di uno strumento per “usarli” e studiarli è un modo corretto e coerente di sostenere questa filosofia. Questo tipo di attività è usualmente riservato ad utenti esperti dotati di strumenti sofisticati: con “Open Data Dashboard” ogni cittadino potrà realizzare le proprie analisi in modo intuitivo, senza alcun tecnicismo ma con il supporto dell’applicazione che evidenzierà la “chiavi di collegamento” tra i dataset in modo da agevolare il collegamenti tra i vari insiemi di dati nonché permettere di georeferenziare le analisi con Google Map.  		OPEN DATA DASHBOARD		
http://dati.comune.roma.it/applicazioni/vacanze-romane-play-your-movie	Italy			Associazione Ethics for Tourism	IT	Web		PROPOSTA APPS4ROMAPMI La APP Vacanze romane, come nell’omonimo film, segue il turista mentre visita la città, percorre itinerari, visita monumenti, musei, luoghi d’arte, botteghe e servizi commerciali. Il turista in qualsiasi momento può segnalare sul suo dispositivo mobile “I am here”: io sono qui! Selezionando Attach from Vacanze Romane proporrà approfondimenti da wikipedia, freebase (estendibile ai portali con ricerca basata sulla georeferenziazione) che verranno associati alle segnalazioni in My data.		Vacanze Romane (play your movie)		
http://dati.comune.roma.it/applicazioni/whats-your-mood-today	Italy			Unisys Italia	IT	Web		PROPOSTA APPS4ROMAGRANDI AZIENDE		WHAT’S YOUR MOOD TODAY?		
http://dati.comune.roma.it/applicazioni/open-scuola	Italy			Fabrizio Bottacchiari	IT			PROPOSTA APPS4ROMAPMI Portale per la consultazione dei dataset in modalità “user-friendly”, tramite l’utilizzo di algoritmi sviluppati ad-hoc, all’utente verranno restituiti dei coefficienti utili alla scelta dell’istituto, come ad esempio il numero di iscritti e il rapporto tra cittadini Stranieri e Italiani. Tutti i dati messi a disposizione potranno essere esportati e stampati. 		Open Scuola		
http://dati.comune.roma.it/applicazioni/insieme	Italy			Aldo Ursini - Capgemini	IT			PROPOSTA APPS4ROMAGRANDI AZIENDE Il portale InSieme costituisce il contenitore tecnologico - autonomo o integrato in una soluzione di portale istituzionale - in cui trovano spazio forme di collaborazione e scambio di idee ed esigenze comuni fra cittadini e le relative modalità di diffusione delle iniziative, che trovano nei social network un eccellente effetto moltiplicatore, e la condivisione con l’istituzione. 		inSieme		
http://dati.comune.roma.it/applicazioni/servicesonmap	Italy			Beatrice Salvati	IT			PROPOSTA APPS4ROMAPMI Il Portale/forum/community, assolutamente gratuito, vuole fornire un servizio completo ed immediato per privati ed aziende attraverso una mappa interattiva su cui segnalare punti di interesse di vario tipo (aziende, eventi, corsi di formazione, punti di interesse turistico..) con una scheda di presentazione analitica e completa e con una review degli utenti.		ServicesOnMap		
http://dati.comune.roma.it/applicazioni/analisi-comparativa-dati-elettorali	Italy			Unisys Italia	IT			PROPOSTA APPS4ROMAGRANDI AZIENDE L’App demo ottimizzata solo iPad permette di comparare graficamente il dato delle affluenze e la struttura della popolazione romana per individuare specifici trend che evidenzino entità e modalità di partecipazione all’attività politica (passiva) in occasione dei periodi elettorali. 		ANALISI COMPARATIVA DATI ELETTORALI		
http://dati.comune.roma.it/applicazioni/romascuola	Italy			Dario Dussoni e altri	IT	Web		PROPOSTA APPS4ROMAPMI Il progetto ha previsto la creazione di una Knowledge Base relazionale e geografica a partire dal mash-up dei dati MIUR e RomaCapitale. La KB permette interrogazioni sui dati attraverso  mappa, filtri e indici accuratamente studiati e modellati per aiutare i genitori nel processo di decision making sulle iscrizioni dei figli, a supporto delle segreterie amministrative nella ricerca veloce delle info rilevanti e dei contatti degli istituti romani,  per aumentare accountability e trasparency degli istituti attraverso l’esposizione dei flussi di finanziamento e loro utilizzo, come della qualità della formazione scolastica.		ROMaScuola		
http://dati.comune.roma.it/applicazioni/openurbs	Italy			Ezio Valerio Galloni	IT	Web		PROPOSTA APPS4ROMAPMI L’applicazione partendo dalla geolocalizzazione degli open data offre ai suoi utenti un’informazione arricchita dinamicamente, dettagliata e condivisa; inoltre, mira al coinvolgimento e all’interscambio attivo di informazioni fra cittadini, turisti, commercianti, utenti istituzionali etc...		OpenUrbs		
